name,aggregated_abilities,institution,program,latest_location,experience_years,firm_list,aggregated_skill,person_id
Database Administrator,"['Designing', 'Developing', 'Managing', 'Troubleshooting', 'Databases', 'Oracle Fusion Middleware', 'SOA', 'Oracle EBS', 'Oracle GoldenGate', 'Oracle Dataguard', 'Oracle RAC', 'Oracle ASM', 'Oracle Upgrades', 'Oracle Patching', 'Performance Tuning', 'SQL Tuning', 'RMAN', 'Backup and Recovery']",George Washington University,BA Political Science,"Atlanta, GA",13.56605065,"['Booz Allen Hamilton', 'Huntington National Bank', 'Coca Cola']","['Database', 'Database Administrator', 'Oracle', 'RAC', 'ASM', 'GoldenGate', 'Dataguard', 'Datapump', 'RMAN', 'AWR', 'ADDM', 'SQL Tuning', 'Oracle 10g', 'Oracle 11g', 'AIX', 'OEM', 'SQL*Loader', 'Datapump', 'RMAN', 'AWR', 'ADDM', 'SQL Tuning', 'Flashback', 'Partitioning', 'VPD', 'FGA']",11
Senior Oracle Database Administrator,"['Change management', 'Data integration', 'Database', 'databases', 'Ddl', 'Encryption', 'Etl', 'Excel', 'Extract, transform, and load', 'Integration', 'Integrator', 'Linux', 'Ms sql server', 'Oracle', 'performance tuning', 'Rman', 'security', 'Sops', 'Sql', 'Sql server', 'Oracle Dba', 'Sql Database', 'DBA', 'Sql Dba']",University of Maryland,Associate's degree,"Washington, DC",15.05544148,"['United Health group', 'Weatherford laboratories', 'Walmart']","['Change management', 'Data integration', 'Database', 'databases', 'Ddl', 'Encryption', 'Etl', 'Excel', 'Extract, transform, and load', 'Integration', 'Integrator', 'Linux', 'Ms sql server', 'Oracle', 'performance tuning', 'Rman', 'security', 'Sops', 'Sql', 'Sql server', 'Oracle Dba', 'Sql Database', 'DBA', 'Sql Dba', 'Database', 'databases', 'Ddl', 'Encryption', 'Linux', 'Ms sql server', 'Oracle', 'Rman', 'security', 'Sql', 'Sql server', 'Database', 'databases', 'Ddl', 'Ms sql server', 'Oracle', 'Rman', 'security', 'Sql', 'Sql server']",12
Database Administrator,"['HP-UX', 'Sun Solaris', 'AIX', 'RHEL', 'Linux Enterprise Server', 'Windows', 'Database Monitoring', 'Backup & Recovery', 'Cloning', 'Troubleshooting', 'Physical Database Design', 'On-call Production Support', 'OEM Cloud Control', 'Transparent Data Encryption', 'Goldengate', 'Patch Deployment', 'Oracle Financial Services Lending and Leasing', 'Monitoring/Health Check Alert Scripts', 'Oracle RAC', 'Clusterware and ASM', 'OLTP and OLAP', 'Dataguard', 'Transportable Tablespaces', 'Data Pump', 'Export/Import Utilities', 'ADDM', 'SQL Tuning', 'Access Advisors', 'AWR', 'ASH', 'Explain Plan', 'Shell Scripts', 'Crontab', 'SQL Scripts', 'AWS Migration', 'TKPROF', 'Explain Plan', 'STATSPACK', 'Bilingual - French']",University of Yaoundé II,Bachelor's Degree,"Chicago, IL",12.31211499,"['First Tennessee Bank', 'United Airlines']","['Oracle Database', 'Clusterware', 'ASM', 'Dataguard Broker', 'Goldengate', 'EXPDP/IMPDP', 'RMAN', 'Cloud Control', 'PostgreSQL', 'pgadmin', 'psql', 'pgbouncer', 'pgtool', 'pgbackrest', 'vacuum', 'SQL', 'PL/SQL', 'SQL*Loader', 'AWS', 'Oracle 11g', 'Oracle 12c', 'Linux', 'Tablespace Management', 'RMAN', 'Dataguard', 'Active Dataguard', 'ASM', 'Goldengate', 'OEM Grid Control', 'Performance Tuning', 'Security Patching']",13
Database Administrator,"['Database creation and maintenance', 'SQL development', 'Database consolidation', 'Custom database solution', 'Web development', 'Hardware troubleshooting', 'Inventory management', 'Front desk duties']",The University of Iowa,B.A. in Computer Science,"Iowa City, IA",0,"['City of Iowa City', 'ITS, University', 'Library IT', 'Office of Statewide Clinical Education Programs']","['Microsoft SQL development', 'SQL logical and physical database design', 'Database implementation and maintenance', 'Database consolidation', 'PHP', 'SQL', 'FileMaker', 'Custom database solution', 'Web development in HTML and CSS', 'Hardware troubleshooting and replacement', 'Inventory system management', 'Hardware installation and reimaging', 'Front desk duties', 'Doctor verification', 'Paperwork organization']",14
SQL Database Administrator/SQL DBA,"['SQL Server Installation', 'SQL Server Configuration', 'SQL Server Administration', 'Data Modeling', 'Database Maintenance', 'Performance Tuning', 'Security Management', 'High Availability', 'Disaster Recovery', 'Business Intelligence', 'Cloud/Azure Migration', 'Database Automation', 'Monitoring', 'Troubleshooting']",Sufia Institute of Science & Technology,Bachelor's in Management in Finance,"Suitland, MD",6.409308693,"['Bureau of Indian Affairs', 'Census Bureau']","['SQL Server 2012, 2014 and 2016', 'Database Mirroring', 'AlwaysOn', 'Fail-Over Cluster', 'SQL/T-SQL', 'Stored-Procedures', 'Triggers', 'Database Monitoring', 'Performance Tuning', 'Index Management', 'Database Automation', 'Data Modeling', 'Index/Constraints', 'Triggers', 'Stored Procedure', 'Security Management', 'Database Migration', 'Backup/Recovery', 'SQL Server 2008 R2, 2012 and 2014', 'Database Automation', 'SQL/T-SQL', 'Stored Procedures', 'Triggers', 'Functions', 'Database Backups', 'Database Restore', 'Replication', 'Security Management', 'Database Migration', 'Database Mirroring', 'Performance Tuning', 'Reporting Services']",15
DBA DBA DBA,"['Over 6 years of SQL Server DBA and developer experience', 'Expertise in SQL Server administration, installation, configuration, monitoring and maintenance', 'Proficient in database performance tuning and troubleshooting', 'Strong experience in high availability solutions', 'Experienced in SQL Server upgrades and database migrations', 'Skilled in capacity planning and disaster recovery', 'Excellent T-SQL skills', 'Experience in ETL processes using SSIS', 'Hands-on experience in Azure SQL Server management', 'Knowledge of third-party tools like IDERA, Apex, JIRA, TSM and TDP']",,,,0,"[nan, nan]","['SQL Server 2016', 'SQL Server 2014', 'SQL Server 2012', 'SQL Server 2008 R2', 'Clustering', 'Mirroring', 'Replication', 'Backup/Recovery', 'Security', 'Agent Jobs', 'Alerts', 'DB Mail', 'Notification', 'Azure', 'JIRA', 'Patching', 'Upgrade', 'Migration', 'Database Objects', 'Performance Tuning', 'DBCC', 'DMV', 'Maintenance Plans', 'Query Optimization', 'SQL Server 2000', 'SQL Server 2005', 'SQL Server 2008', 'SQL Server 2008 R2', 'Backup/Restore', 'Point-in-Time Recovery', 'Replication', 'Log Shipping', 'Database Mirroring', 'Patching', 'Performance Tuning', 'Database Objects', 'Backup/Restore', 'Job Scheduling', 'SSRS', 'SSIS', 'Data Loading', 'Data Transformation']",16
SQL Database Administrator/Developer,"['SQL Server Database Administration', 'Database Performance Analysis', 'Database Design', 'Database Development', 'Database Support', 'Replication', 'Cluster Server Environments', 'Database Development', 'Business Intelligence', 'Integration', 'Analysis', 'Reporting', 'ETL', 'SSIS', 'SSAS', 'SSRS', 'Power BI', 'Image Editing', 'Graphic Design', 'Adobe', 'Microsoft Office']",University of Trento,Master's in science,"Addis Ababa, ETH",10.47775496,"['Avant Network', 'ITSC PLC', 'SEMS STUDIO PLC']","['SQL Server Database Administration', 'Performance Analysis', 'Database Design', 'Database Development', 'Database Support', 'Replication', 'Cluster Server Environments', 'SQL Server', 'T-SQL', 'Database Development', 'Business Intelligence', 'Integration', 'Analysis', 'Reporting', 'ETL', 'SSIS', 'SSAS', 'SSRS', 'Power BI', 'Image Editing', 'Graphic Design', 'Adobe', 'Microsoft Office']",17
SQL Server Database Administrator,"['SQL Server database administration', 'System Analysis, Design, Development and Support', 'Database design, installations, conversions', 'Database backup and recovery procedures', 'Database access security and integrity', 'Physical data storage design and management', 'Database Performance, Maintenance and Development', 'SQL Server service packs and updates configuration', 'SQL Security settings configuration', 'Database backup & recovery & DR planning', 'SQL Server Agent jobs and maintenance plans creation, modification, and optimization', 'Query Analyzer and Profiler for tuning queries', 'Backup plan and disaster recovery strategies design and implementation', 'Databases, tables, views, store procedures and triggers design and creation', 'Database performance troubleshooting and optimization', 'SQL Server Agent jobs review and corrective actions', 'Database Security management', 'Database monitoring and performance tuning', 'Database administration for SQL Server databases', 'Database security management', 'Database monitoring tools usage', 'Always on, clustered and mirrored environments experience', 'SQL Statements, Instance Parameters, and Data Storage tuning and optimization', 'Database systems patching and service packs installation', 'SQL Server Constraints utilization', 'T-SQL Stored Procedures, Triggers, Tables, User Defined Functions, Views and Indexes', 'Troubleshooting and user support', 'Upgrades and patches installation', 'User training', 'Technical documentation writing', 'Meetings with ERP team, development, QA, and End Users', 'Liaison between business and technical resources', 'Physical database model creation from logical database model', ""Testing to ensure systems' functionality"", 'Ticketing queue and JIRA management', 'Ad-hoc queries creation using T-SQL', 'Complex T-SQL queries creation', '24x7 on call support', 'Requirement capturing and modeling', 'Testing on SQL modules']",Middle Tennessee State University,Bachelor of Business Administration in Accounting,"Lewisville, TX",0,"['FEDERAL RESERVE BANK', 'OMNITRACS LLC', 'Nationstar Mortgage LLC']","['Install and configure new Microsoft SQL Server instances', 'Review, analyze, and evaluate business systems and user needs', 'Database design, installations, conversions', 'Database backup and recovery procedures', 'Database access security and integrity', 'Physical data storage design and management', 'Database Performance, Maintenance and Development', 'SQL Server service packs and updates configuration', 'SQL Security settings configuration', 'Database backup & recovery & DR planning', 'SQL Server Agent jobs and maintenance plans creation, modification, and optimization', 'Query Analyzer and Profiler for tuning queries', 'Backup plan and disaster recovery strategies design and implementation', 'Databases, tables, views, store procedures and triggers design and creation', 'Database performance troubleshooting and optimization', 'SQL Server Agent jobs review and corrective actions', 'Database Security management', 'Database monitoring and performance tuning', 'Database administration for SQL Server databases', 'Database security management', 'Database monitoring tools usage', 'Always on, clustered and mirrored environments experience', 'SQL Statements, Instance Parameters, and Data Storage tuning and optimization', 'Database systems patching and service packs installation', 'SQL Server Constraints utilization', 'T-SQL Stored Procedures, Triggers, Tables, User Defined Functions, Views and Indexes', 'Troubleshooting and user support', 'Upgrades and patches installation', 'User training', 'Technical documentation writing', 'Meetings with ERP team, development, QA, and End Users', 'Liaison between business and technical resources', 'Physical database model creation from logical database model', ""Testing to ensure systems' functionality"", 'Ticketing queue and JIRA management', 'Ad-hoc queries creation using T-SQL', 'Complex T-SQL queries creation', '24x7 on call support', 'Requirement capturing and modeling', 'Testing on SQL modules']",18
SQL Developer / DBA,"['SQL Development', 'Database Administration', 'Reporting and Data Analytics', 'ETL Development', 'Backup and Recovery', 'Database Optimization', 'Query Tuning', 'Automation', 'System Maintenance', 'Data Manipulation and Cleansing', 'Application Support', 'Hardware Deployment and Troubleshooting']",Radford University,Bachelor of Science,"Arlington, VA",0,"['United Medical Center', 'Winrock International', 'Clutch Group', 'Driven, Inc', 'Driven, Inc', 'Active-Edge-Techs']","['SSRS', 'SSIS', 'PowerShell', 'SQL', 'Database Optimization', 'Query Tuning', 'Database Administration', 'SSRS', 'PowerShell', 'SQL', 'Crystal Reports', 'Automation', 'System Maintenance', 'SSIS', 'SSRS', 'SQL', 'PowerShell', 'Data Warehouse', 'Backup and Recovery', 'Excel', 'Access', 'SQL', 'Data Manipulation', 'Data Cleansing', 'Data Validation', 'Citrix', 'Relativity', 'Remote Desktop', 'Active Directory', 'Application Support', 'Mac OS', 'Windows OS', 'Hardware Deployment', 'Troubleshooting']",19
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
